iter	AUC	Logloss
0	0.5928577563	0.6890177598
1	0.6345088567	0.683406339
2	0.6909500805	0.6747962719
3	0.6845646806	0.6735753975
4	0.683496511	0.6712420183
5	0.7101513688	0.6643122967
6	0.703955985	0.6633824495
7	0.7009457864	0.6630342271
8	0.7033408481	0.6622887131
9	0.7083703704	0.6597918554
10	0.7107740204	0.6588428247
11	0.7233365539	0.6553682552
12	0.7418539989	0.6494916856
13	0.7419838969	0.6488437453
14	0.7397917338	0.6483340398
15	0.7405797101	0.6471655097
16	0.7402039721	0.6456905816
17	0.7443639291	0.6433383288
18	0.7450466989	0.6427977098
19	0.7496038647	0.6395986143
20	0.7519763822	0.638812412
21	0.7567858293	0.6372157351
22	0.7588803006	0.6358799972
23	0.7594535695	0.6355458226
24	0.7657874396	0.6336491157
25	0.7816586151	0.6268337066
26	0.7798432636	0.6267558404
27	0.7833891573	0.6248805847
28	0.7833891573	0.624880584
29	0.7916800859	0.6207188291
30	0.7972560386	0.618419431
31	0.7962082662	0.6183231026
32	0.8005646806	0.6160584379
33	0.8005646806	0.6160583663
34	0.8012206119	0.6155625689
35	0.8050939345	0.6132929793
36	0.8045936661	0.6130764628
37	0.8069468599	0.6112179011
38	0.8068695652	0.61108066
39	0.8068695652	0.6110806293
40	0.809092861	0.6092684602
41	0.809092861	0.6092684326
42	0.8098228663	0.6085258015
43	0.8093880837	0.6077336962
44	0.8102232958	0.6070489017
45	0.8177938808	0.6028209803
46	0.8206537842	0.6000134246
47	0.8208255502	0.6000127226
48	0.8266312399	0.595879631
49	0.8307858293	0.5930993284
50	0.8311465378	0.5926711977
51	0.8445764895	0.5853053051
52	0.8524927536	0.5796789283
53	0.8564626946	0.5764622773
54	0.8588395062	0.5748927408
55	0.8633569512	0.5714298793
56	0.866057971	0.5683481385
57	0.866057971	0.568348138
58	0.8702920021	0.5641810784
59	0.8731980676	0.5617593819
60	0.8751626409	0.5597452567
61	0.8771465378	0.5575612687
62	0.8787568438	0.5560733096
63	0.8834814815	0.5522156014
64	0.8890874933	0.5476785924
65	0.8972678476	0.542116058
66	0.9030016103	0.5373010028
67	0.9063574879	0.5336324043
68	0.908893183	0.5304519578
69	0.910849168	0.5285023819
70	0.9125517982	0.5258561198
71	0.9141996779	0.5229866103
72	0.9150692432	0.5218162146
73	0.9182683843	0.51883103
74	0.9196457327	0.5164773448
75	0.9215587762	0.5123291191
76	0.9238368223	0.5087446075
77	0.9258894257	0.5055998659
78	0.9273215244	0.5042781959
79	0.9281996779	0.5015547933
80	0.9289919485	0.4998447565
81	0.9302630166	0.4983946175
82	0.9317380569	0.4957502067
83	0.9324787976	0.4941504837
84	0.9332259796	0.4926234739
85	0.935222759	0.489934689
86	0.9393451422	0.4850391144
87	0.9407235641	0.4834007896
88	0.9436307032	0.480417544
89	0.9449253892	0.4778526037
90	0.946617284	0.4748350508
91	0.948805153	0.4723860192
92	0.9490885668	0.4704210576
93	0.9511926999	0.4684919375
94	0.9524229737	0.4661263897
95	0.9537928073	0.4618538669
96	0.9554052603	0.4590139667
97	0.9559527644	0.4562254161
98	0.9573097155	0.4543256534
99	0.9587224906	0.4525233801
100	0.9594718196	0.4502210601
101	0.959598497	0.4495260229
102	0.9606398282	0.4472856211
103	0.9610048309	0.445015452
104	0.9617047772	0.4434793273
105	0.9637359098	0.4390732915
106	0.9640944713	0.4375774498
107	0.9643220612	0.4360680632
108	0.9660118089	0.432823476
109	0.9667718733	0.4311970485
110	0.9685539452	0.4287029425
111	0.9694363929	0.427213336
112	0.9697369834	0.426357677
113	0.9710574342	0.4243270548
114	0.9711690821	0.4232487599
115	0.9716972625	0.4205354792
116	0.9728244767	0.4176621911
117	0.9734342458	0.4158498502
118	0.9741127214	0.4135074196
119	0.975396672	0.4100040228
120	0.9755212024	0.4086240585
121	0.9773354804	0.4042082549
122	0.9773870102	0.4031092294
123	0.9778099839	0.4009680824
124	0.9783081052	0.399260804
125	0.9789286098	0.3963077367
126	0.979366613	0.3943353762
127	0.9799828234	0.3916947122
128	0.9809833602	0.3896102033
129	0.9815845411	0.3868333405
130	0.98152657	0.3846277875
131	0.9822716049	0.3822752338
132	0.9824369297	0.3814776223
133	0.982962963	0.3800951547
134	0.9831347289	0.3795968397
135	0.9835512614	0.3781518386
136	0.9840365003	0.3763426544
137	0.9842855609	0.3752100605
138	0.9846076221	0.3739001324
139	0.9848373591	0.3730099073
140	0.9849060655	0.3721421967
141	0.9859194847	0.3690826386
142	0.9863166935	0.3669104752
143	0.9866387547	0.3652385628
144	0.9871690821	0.3637170656
145	0.9871454643	0.3629699953
146	0.9872334944	0.3614743874
147	0.9872334944	0.360633163
148	0.987770263	0.3583883236
149	0.9879184112	0.3570672859
150	0.988057971	0.3562078667
151	0.9881867955	0.3554676001
152	0.9887965647	0.3538674302
153	0.9891486849	0.3525306456
154	0.9892302738	0.3520243511
155	0.9897799249	0.3503802386
156	0.9898443371	0.3497574924
157	0.9900397209	0.3490659019
158	0.9900976919	0.3476357929
159	0.9903403113	0.3466677634
160	0.9902007515	0.345612779
161	0.9903403113	0.3440060638
162	0.9906237252	0.3419648604
163	0.9907096082	0.3406320521
164	0.9909178744	0.3393414754
165	0.991108964	0.3376353697
166	0.9911196994	0.3366799627
167	0.9912120236	0.335869338
168	0.9916178207	0.3345187616
169	0.9917767042	0.3335828663
170	0.992115942	0.3324755214
171	0.9921782072	0.3314760127
172	0.9924229737	0.3294552185
173	0.992461621	0.3286807909
174	0.9925496511	0.3281373698
175	0.9927750939	0.3262287109
176	0.9931594203	0.3245578687
177	0.9932474503	0.3236064545
178	0.9934041868	0.3215651312
179	0.9937047772	0.3197281933
180	0.9939602791	0.3186725759
181	0.9943231347	0.3168917589
182	0.994531401	0.3156339851
183	0.994619431	0.314749365
184	0.9946795491	0.3140636053
185	0.9947654321	0.3134664229
186	0.9948706388	0.3128122015
187	0.9949200215	0.3119246373
188	0.9949758454	0.3106273873
189	0.9950703167	0.3094417811
190	0.9950466989	0.3089237846
191	0.9950917874	0.3081779276
192	0.9951154053	0.3076578248
193	0.9950359635	0.3059688656
194	0.9951604938	0.3048439191
195	0.9951519055	0.3045243895
196	0.9951561997	0.3035101628
197	0.99528073	0.3020460858
198	0.9953129361	0.3013469762
199	0.9953580247	0.3009400199
200	0.9955126141	0.2987029647
201	0.995482555	0.2978400897
202	0.9955641439	0.2970460314
203	0.9956178207	0.2960375042
204	0.9960386473	0.293570105
205	0.9961245303	0.2924305671
206	0.9961052067	0.2921301208
207	0.996115942	0.2911155642
208	0.9961545894	0.2901826318
209	0.9962168545	0.2895189299
210	0.9962855609	0.2892689872
211	0.9964551798	0.2871247713
212	0.9965818572	0.2858308786
213	0.9965861514	0.2851832195
214	0.9966784756	0.2842565655
215	0.9967214171	0.2836034777
216	0.9968416532	0.281631993
217	0.996891036	0.2807944041
218	0.9969747719	0.2797398453
219	0.9970864198	0.2786672616
220	0.997092861	0.2779492496
221	0.9971658615	0.2772082714
222	0.9972173913	0.2761216382
223	0.9973419216	0.2748758568
224	0.9973290392	0.2745809322
225	0.997466452	0.2726386589
226	0.9975050993	0.2718369556
227	0.9975351583	0.2713047996
228	0.9975673645	0.2699962165
229	0.9976596887	0.2692000692
230	0.997668277	0.2687219534
231	0.9976897477	0.2683329953
232	0.9977885132	0.2675273932
233	0.997900161	0.2666655707
234	0.9979452496	0.265945111
235	0.9979645733	0.2657693604
236	0.9980826624	0.2644897346
237	0.998099839	0.2635660657
238	0.9981792807	0.2627276258
239	0.9981900161	0.2621094733
240	0.9982544283	0.260846493
241	0.9983209877	0.2601728986
242	0.9982673108	0.2595886772
243	0.998273752	0.2589889392
244	0.9982973698	0.2582774988
245	0.9983746645	0.2573427865
246	0.9983982823	0.2562839848
247	0.998389694	0.25512972
248	0.9984369297	0.2544803869
249	0.9984991948	0.2537939738
250	0.9986215781	0.2519650606
251	0.998589372	0.2506545636
252	0.9986451959	0.2498029894
253	0.9986559313	0.2490197606
254	0.9986129898	0.248190595
255	0.9987010199	0.246766359
256	0.9987246377	0.2460205031
257	0.9987847558	0.2452816876
258	0.998791197	0.2447230976
259	0.9988556092	0.243549781
260	0.9988684917	0.2429980167
261	0.9988792271	0.2426426881
262	0.9989264627	0.2418136793
263	0.9989736983	0.2409469934
264	0.9989951691	0.2399009132
265	0.9990080515	0.2388287086
266	0.9990295223	0.2379096413
267	0.9990230811	0.2374891071
268	0.9990424047	0.2372214541
269	0.9990531401	0.2370288967
270	0.9991604938	0.2357374396
271	0.999164788	0.2349810156
272	0.9991798175	0.2343031857
273	0.9991884058	0.233926487
274	0.9992098765	0.2335084857
275	0.9991969941	0.2330979189
276	0.9992249061	0.2324901026
277	0.9992377885	0.2317678375
278	0.9992614063	0.2310328893
279	0.9992592593	0.2307258397
280	0.9992721417	0.2304912751
281	0.9992699946	0.2293470278
282	0.9992764359	0.2290714376
283	0.9993236715	0.228067769
284	0.9993215244	0.2278380766
285	0.9993752013	0.2270142813
286	0.9993429952	0.226143244
287	0.9993365539	0.225637188
288	0.9993515835	0.2248888909
289	0.9993558776	0.2240463896
290	0.9993472893	0.2237520385
291	0.9993580247	0.2234407388
292	0.9993601718	0.2220568754
293	0.9993623188	0.221829698
294	0.9994310252	0.2207734998
295	0.9994653784	0.2196624498
296	0.9994567901	0.2189387276
297	0.9994610843	0.2186722972
298	0.9994675255	0.2182564708
299	0.9994718196	0.2171469305
300	0.9994782609	0.2170114986
301	0.9994653784	0.2167343261
302	0.999454643	0.2162414195
303	0.999510467	0.2153092302
304	0.9995126141	0.2149758732
305	0.9995297907	0.2144583353
306	0.9995040258	0.2137320225
307	0.9995147611	0.2133376438
308	0.9995190553	0.2122601366
309	0.9995598497	0.2115233937
310	0.9995619968	0.2103833208
311	0.9995791734	0.2100820024
312	0.9995813205	0.2098892835
313	0.9995920558	0.2093365285
314	0.9996027912	0.2086317358
315	0.9996049383	0.2084309396
316	0.9995899087	0.2080521486
317	0.9996006441	0.2073685865
318	0.9996092324	0.2066406449
319	0.9996049383	0.2060085319
320	0.9995899087	0.205442577
321	0.9995899087	0.204733388
322	0.9996049383	0.204114773
323	0.9996135266	0.2033565814
324	0.9996285561	0.2028650958
325	0.9996199678	0.2023900779
326	0.9996414385	0.2017416648
327	0.9996500268	0.2010663324
328	0.9996629093	0.2005284684
329	0.9997101449	0.2000547067
330	0.9997079979	0.1998804747
331	0.9997144391	0.1996419966
332	0.9997230274	0.1990241024
333	0.9997144391	0.1988647817
334	0.9997294686	0.1981028349
335	0.9997316157	0.1979096875
336	0.9997273215	0.1974053594
337	0.9997273215	0.1971983648
338	0.9997294686	0.1969286069
339	0.999742351	0.1967175717
340	0.9997573806	0.1963072715
341	0.9997616747	0.1957837139
342	0.9997681159	0.1954319424
343	0.9997659689	0.1953238876
344	0.9997809984	0.1948497535
345	0.9997831455	0.1945185429
346	0.9997874396	0.1942021784
347	0.9997874396	0.1935129598
348	0.9997917338	0.1931966922
349	0.9997938808	0.1929710853
350	0.9997895867	0.1927118066
351	0.9997831455	0.1924209203
352	0.999798175	0.1914618683
353	0.9998046162	0.1908221702
354	0.9998196457	0.1904389856
355	0.9998174987	0.1901856934
356	0.9998411165	0.1897535137
357	0.9998454106	0.1891223292
358	0.9998432636	0.1886475774
359	0.9998539989	0.1877352123
360	0.9998518519	0.1872348666
361	0.999856146	0.1861340876
362	0.9998604402	0.185656357
363	0.9998754697	0.1851616915
364	0.9998733226	0.184653367
365	0.9998668814	0.1843932826
366	0.9998711755	0.1842108371
367	0.9998733226	0.1839584818
368	0.9998733226	0.183340715
369	0.9998797638	0.1829389765
370	0.9998883521	0.1826041057
371	0.9998904992	0.1822816403
372	0.9998904992	0.1818241242
373	0.9998904992	0.1815897304
374	0.9998969404	0.1808140348
375	0.9999098229	0.1803889899
376	0.9999162641	0.1799073173
377	0.999914117	0.1797384979
378	0.999914117	0.1793761555
379	0.9999162641	0.1785161922
380	0.9999184112	0.1780126371
381	0.9999162641	0.1774187135
382	0.9999098229	0.17690231
383	0.9999119699	0.1765537725
384	0.9999119699	0.1763638952
385	0.9999184112	0.1757448446
386	0.9999162641	0.1756453728
387	0.9999269995	0.1749021768
388	0.9999248524	0.1746078997
389	0.9999291465	0.1741824813
390	0.9999269995	0.1739550777
391	0.9999269995	0.1733556644
392	0.9999269995	0.1732223367
393	0.9999398819	0.1723687743
394	0.9999377348	0.1720390998
395	0.9999506173	0.1716263175
396	0.9999506173	0.1713493059
397	0.9999549114	0.1708712148
398	0.9999570585	0.1707458466
399	0.9999592056	0.1702687688
400	0.9999613527	0.1697887597
401	0.9999613527	0.1694523185
402	0.9999592056	0.1690261484
403	0.9999592056	0.1689046956
404	0.9999592056	0.1686687091
405	0.9999592056	0.1681290702
406	0.9999634997	0.1677718255
407	0.9999613527	0.167408434
408	0.9999592056	0.1669719725
409	0.9999634997	0.1663636844
410	0.9999592056	0.1661150263
411	0.9999592056	0.1657030592
412	0.9999592056	0.1655064876
413	0.9999592056	0.1651160739
414	0.9999613527	0.1648889716
415	0.9999592056	0.1644809585
416	0.9999656468	0.1639855078
417	0.9999634997	0.1633154841
418	0.9999656468	0.1630128052
419	0.9999656468	0.1627927577
420	0.9999634997	0.1625200739
421	0.9999677939	0.1622895865
422	0.9999677939	0.1620549043
423	0.999969941	0.161462624
424	0.9999677939	0.1613189071
425	0.999969941	0.1608221774
426	0.9999677939	0.1603689691
427	0.999969941	0.1600695098
428	0.999972088	0.1597210131
429	0.999972088	0.1595807435
430	0.999972088	0.1592453688
431	0.999969941	0.1589575224
432	0.9999742351	0.1584195604
433	0.999972088	0.1582370767
434	0.999969941	0.1581054063
435	0.999972088	0.157872991
436	0.999969941	0.157554528
437	0.999969941	0.1573613208
438	0.9999742351	0.1568855397
439	0.9999763822	0.156579684
440	0.9999763822	0.1560898914
441	0.9999785293	0.155861934
442	0.9999806763	0.1556439935
443	0.9999828234	0.155426373
444	0.9999828234	0.1552033685
445	0.9999871176	0.1547913031
446	0.9999871176	0.1544251776
447	0.9999871176	0.154095813
448	0.9999871176	0.1533692172
449	0.9999849705	0.1530421563
450	0.9999849705	0.1527736244
451	0.9999828234	0.152293948
452	0.9999828234	0.1519644284
453	0.9999828234	0.1516685232
454	0.9999806763	0.1512290433
455	0.9999785293	0.1509631158
456	0.9999806763	0.1508841055
457	0.9999849705	0.1507328157
458	0.9999849705	0.150424553
459	0.9999871176	0.1498839633
460	0.9999892646	0.1496088475
461	0.9999892646	0.1493363815
462	0.9999892646	0.1491580824
463	0.9999892646	0.1489138751
464	0.9999892646	0.1486201005
465	0.9999914117	0.1482558442
466	0.9999914117	0.1480366024
467	0.9999914117	0.1477691516
468	0.9999914117	0.1476194941
469	0.9999914117	0.146947335
470	0.9999914117	0.1467329399
471	0.9999957059	0.1460898318
472	0.9999957059	0.1459765547
473	0.9999957059	0.145838094
474	0.9999957059	0.1456355085
475	0.9999957059	0.1454415705
476	0.9999957059	0.1453001019
477	0.9999935588	0.1451368092
478	0.9999935588	0.1447848637
479	0.9999935588	0.1446190482
480	0.9999935588	0.1444354819
481	0.9999957059	0.1438034686
482	0.9999957059	0.1435164761
