,open,close,high,low,volume,ema,macd,linreg,momentum,rsi,var,cycle,atr,values
0,3396,3197.4,3398,3166.2,109733,,,,,,,,,1
1,3209.2,3214.6,3240,3168.8,141862,,,,,,,,,1
2,3215,3267.2,3281.2,3208,114531,,,,,,,,,0
3,3260.2,3236.2,3274.4,3211,133247,,,,,,,,,0
4,3241,3221.2,3266,3221,116981,,,,,,553 ,,,0
5,3243,3219.6,3252,3211.8,112229,,,,,,366 ,,,0
6,3201.2,3138.8,3205,3107.6,139961,,,,,,1806 ,,,0
7,3101.6,3129,3142.6,3094.2,128530,,,,,,2064 ,,,0
8,3141,3083.8,3157.6,3082.2,116254,,,,,,2901 ,,,1
9,3103,3107,3119.6,3043,184157,,,,,,2122 ,,,0
10,3079.8,3076.4,3094.4,3060.8,150123,,,,-121 ,,594 ,,,2
11,3046.4,3076.4,3087,3031,145542,,,,-138 ,,423 ,,,0
12,3078.6,2967.4,3083.4,2953.6,170221,,,,-300 ,,2373 ,,,0
13,2928,2897.6,2959.8,2862.2,240106,,,2982 ,-339 ,,6311 ,,,1
14,2910,2918,2931,2870,201919,,,2937 ,-303 ,22 ,5824 ,,72 ,0
15,2949,2801.6,2957.8,2797.2,224626,,,2872 ,-418 ,18 ,8098 ,,78 ,1
16,2809,2836.2,2855,2782,273131,,,2835 ,-303 ,23 ,3474 ,,78 ,1
17,2847.8,2894.6,2915.6,2823,217422,,,2822 ,-234 ,30 ,1898 ,,79 ,0
18,2880,2862.6,2894.8,2850.4,185453,,,2807 ,-221 ,29 ,1702 ,,76 ,0
19,2840,2719,2840.2,2708,117625,,,2766 ,-388 ,23 ,3629 ,,82 ,1
20,2711.8,2810.4,2848,2708.4,261582,,,2751 ,-266 ,32 ,3566 ,,86 ,0
21,2779.2,2784.8,2859,2734.2,340531,,,2738 ,-292 ,31 ,3750 ,,89 ,0
22,2801,2763.2,2844.8,2742.2,293133,,,2722 ,-204 ,30 ,2291 ,,90 ,1
23,2702,2801,2802.8,2677,307325,,,2729 ,-97 ,34 ,1060 ,,92 ,1
24,2814,2902,2933.4,2808,300512,,,2766 ,-16 ,43 ,2269 ,,95 ,0
25,2880,2813.2,2889.2,2811,288927,,,2785 ,12 ,38 ,2268 ,,95 ,1
